Clade,Host,Accession,Group
Bat EF-E2,Big brown bat,GU644652,Bat
Bat EF-E2,Big brown bat,GU644654,Bat
Bat EF-E2,Big brown bat,GU644655,Bat
Bat EF-E2,Big brown bat,GU644656,Bat
Bat EF-E2,Big brown bat,GU644657,Bat
Bat EF-E2,Big brown bat,GU644658,Bat
Bat EF-E2,Big brown bat,GU644659,Bat
Bat EF-E2,Big brown bat,GU644660,Bat
Bat EF-E2,Big brown bat,GU644661,Bat
Bat EF-E2,Big brown bat,GU644662,Bat
Bat EF-E2,Big brown bat,GU644663,Bat
Bat EF-E2,Big brown bat,GU644664,Bat
Bat EF-E2,Big brown bat,GU644665,Bat
Bat EF-E2,Big brown bat,GU644666,Bat
Bat EF-E2,Big brown bat,GU644667,Bat
Bat EF-E2,Big brown bat,GU644668,Bat
Bat EF-E2,Big brown bat,GU644669,Bat
Bat EF-E2,Big brown bat,GU644670,Bat
Bat EF-E2,Big brown bat,GU644671,Bat
Bat EF-E2,Big brown bat,GU644676,Bat
Bat EF-E2,Big brown bat,GU644677,Bat
Bat EF-E2,Big brown bat,GU644684,Bat
Bat EF-E2,Big brown bat,GU644689,Bat
Bat EF-E2,Big brown bat,GU644690,Bat
Bat EF-E2,Big brown bat,GU644695,Bat
Bat EF-E2,Big brown bat,JQ685925,Bat
Africa 3,Mongoose,FJ392371,Carnivore
Africa 3,Mongoose,FJ392377,Carnivore
Africa 3,Mongoose,FJ392378,Carnivore
Africa 3,Mongoose,FJ392379,Carnivore
Africa 3,Mongoose,FJ392380,Carnivore
Africa 3,Mongoose,FJ392383,Carnivore
Africa 3,Mongoose,FJ392385,Carnivore
Africa 3,Mongoose,FJ392388,Carnivore
Africa 3,Mongoose,JQ692990,Carnivore
Africa 3,Mongoose,JQ692992,Carnivore
Africa 3,Mongoose,JQ692993,Carnivore
Africa 3,Mongoose,JQ692994,Carnivore
Africa 3,Mongoose,JQ692995,Carnivore
Asian SEA5,Ferret badger,KF501180,Carnivore
Asian SEA5,Ferret badger,KF501181,Carnivore
Asian SEA5,Ferret badger,KF501182,Carnivore
Asian SEA5,Ferret badger,KF501183,Carnivore
Asian SEA5,Ferret badger,KF501184,Carnivore
Asian SEA5,Ferret badger,KF501185,Carnivore
Asian SEA5,Ferret badger,KF620487,Carnivore
Asian SEA5,Ferret badger,KF620488,Carnivore
Asian SEA5,Ferret badger,KF620489,Carnivore
Asian SEA5,Ferret badger,KP860137,Carnivore
Asian SEA5,Ferret badger,KP860138,Carnivore
Asian SEA5,Ferret badger,KP860139,Carnivore
Asian SEA5,Ferret badger,KP860140,Carnivore
Asian SEA5,Ferret badger,KP860141,Carnivore
Asian SEA5,Ferret badger,KP860142,Carnivore
Asian SEA5,Ferret badger,KP860143,Carnivore
Asian SEA5,Ferret badger,KP860144,Carnivore
Asian SEA5,Ferret badger,KP860145,Carnivore
Asian SEA5,Ferret badger,KP860146,Carnivore
Asian SEA5,Ferret badger,KP860147,Carnivore
Asian SEA5,Ferret badger,KP860148,Carnivore
Asian SEA5,Ferret badger,KP860149,Carnivore
Asian SEA5,Ferret badger,KP860150,Carnivore
Asian SEA5,Ferret badger,KP860151,Carnivore
Asian SEA5,Ferret badger,KP860152,Carnivore
Asian SEA5,Ferret badger,KP860153,Carnivore
Asian SEA5,Ferret badger,KP860154,Carnivore
